address,lat,lng,point_name,city,state,KFC,Pizza Hut,7 Eleven Malaysia Sdn Bhd,Dominos,Starbucks,Kenny Rogers Roasters,Nandos,MarryBrown,Dommal Food Services Sdn Bhd,Mynews Retail Sdn Bhd,Restaurants,Property Management,Consultants,Legal,Barber & Beauty Salons,General,Clothing,Travel & Tourism,Others,Accomodation,tmn_name_1,tmn_lat_1,tmn_lng_1,tmn_majority_tenure_1,tmn_majority_type_1,tmn_median_price_1,tmn_name_2,tmn_lat_2,tmn_lng_2,tmn_majority_tenure_2,tmn_majority_type_2,tmn_median_price_2,tmn_name_3,tmn_lat_3,tmn_lng_3,tmn_majority_tenure_3,tmn_majority_type_3,tmn_median_price_3,tmn_fb_total_pop_1,tmn_fb_male_pop_1,tmn_fb_female_pop_1,tmn_fb_female_reproductive_pop_1,tmn_fb_youth_pop_1,tmn_fb_elder_pop_1,tmn_fb_child_pop_1,tmn_fb_total_pop_2,tmn_fb_male_pop_2,tmn_fb_female_pop_2,tmn_fb_female_reproductive_pop_2,tmn_fb_youth_pop_2,tmn_fb_elder_pop_2,tmn_fb_child_pop_2,tmn_fb_total_pop_3,tmn_fb_male_pop_3,tmn_fb_female_pop_3,tmn_fb_female_reproductive_pop_3,tmn_fb_youth_pop_3,tmn_fb_elder_pop_3,tmn_fb_child_pop_3,tmn_rwi_1,tmn_rwi_2,tmn_rwi_3,C_KFC,C_MarryBrown,C_Burger King,point_name2,point_name3
"PIZZA HUT AEON MALL BANDAR DATO' ONN, Bandar Dato Onn, Johor Bahru, Johor",1.5637492,103.7343062,Pizza Hut,JOHOR BAHARU,JOHOR,0,1,1,0,0,0,0,0,1,1,10,6,2,1,5,11,7,1,1,0,"BANDAR DATO' ONN, TEBRAU, JOHOR",1.5632732,103.7410752,FREEHOLD,TERRACEHOUSE,605000.0,"BANDAR GLENMARIE, TEBRAU, JOHOR",1.5565379,103.7370858,FREEHOLD,TERRACEHOUSE,723888.0,"TAMAN ADDA, TEBRAU, JOHOR",1.5576268999999998,103.7459101,FREEHOLD,CLUSTERHOUSE,860880.0,2061.0,952.0,836.0,497.0,334.0,79.0,171.0,2061.0,952.0,836.0,497.0,334.0,79.0,171.0,2061.0,952.0,836.0,497.0,334.0,79.0,171.0,0.449,1.069,1.069,0,0,0,Ilham Unik Sdn Bhd,"Aeon Co (M) Bhd - (Aeon Bandar Dato' Onn,)"
"Pizza Hut, Jusco Permas Jaya Shopping Centre, 1, Jalan Permas Utara, Bandar Baru Permas Jaya, 81750 Masai",1.496,103.81856,Pizza Hut,JOHOR BAHARU,JOHOR,1,1,1,1,0,0,0,0,1,1,58,32,16,3,84,22,8,5,7,18,"MON GLORI, PERMAS JAYA, JOHOR",1.499929,103.8219851,FREEHOLD,APARTMENT,227500.0,"PAN VISTA, PERMAS JAYA, JOHOR",1.5005879999999998,103.823059,FREEHOLD,APARTMENT,330000.0,"FAIR VIEW, PERMAS JAYA, JOHOR",1.5004468,103.8136111,FREEHOLD,APARTMENT,325000.0,2255.0,1056.0,903.0,543.0,386.0,79.0,177.0,2255.0,1056.0,903.0,543.0,386.0,79.0,177.0,2255.0,1056.0,903.0,543.0,386.0,79.0,177.0,0.728,0.728,0.773,1,0,0,Mynews Retail Sdn Bhd,OldTown White Coffee Jusco Permas Jaya
"No.6, Ground Floor, PHD BANDAR SRI ALAM, Jalan Suria 2, Bandar Baru Seri Alam, 81750 Masai, Johor",1.4949378,103.8738435,Pizza Hut,JOHOR BAHARU,JOHOR,1,1,1,0,0,0,0,1,1,1,31,27,14,2,55,24,9,2,13,13,"SERI ALAM PARK VIEW, JOHOR BAHRU, JOHOR",1.4955821000000002,103.874506,FREEHOLD,APARTMENT,382500.0,"COUNTRY TOWERS, MASAI, JOHOR",1.499754,103.867056,FREEHOLD,CONDOMINIUM,325000.0,"BANDAR BARU KOTA PUTRI, MASAI, JOHOR",1.5002848999999998,103.8672434,FREEHOLD,TERRACEHOUSE,147500.0,2255.0,1056.0,903.0,543.0,386.0,79.0,177.0,2255.0,1056.0,903.0,543.0,386.0,79.0,177.0,2255.0,1056.0,903.0,543.0,386.0,79.0,177.0,0.574,0.574,0.574,1,1,0,Miliyun Pet Care,SK Kee Ent
"Pizza Hut, AEON Permas Jaya, Lot 31 No. 1, Jalan Permas Jaya Utara, Masai, 81750 Masai, Johor",1.4955268999999998,103.817415,Pizza Hut,JOHOR BAHARU,JOHOR,1,1,1,1,0,0,0,0,1,1,58,32,16,3,84,22,8,5,7,18,"FAIR VIEW, PERMAS JAYA, JOHOR",1.5004468,103.8136111,FREEHOLD,APARTMENT,325000.0,"MON GLORI, PERMAS JAYA, JOHOR",1.499929,103.8219851,FREEHOLD,APARTMENT,227500.0,"PAN VISTA, PERMAS JAYA, JOHOR",1.5005879999999998,103.823059,FREEHOLD,APARTMENT,330000.0,2255.0,1056.0,903.0,543.0,386.0,79.0,177.0,2255.0,1056.0,903.0,543.0,386.0,79.0,177.0,2255.0,1056.0,903.0,543.0,386.0,79.0,177.0,0.773,0.728,0.728,1,0,0,AEON Store,AEON Shopping Centre
"Pizza Hut Delivery (PHD) @ Ulu Tiram, 3, Jalan Resam 13, Taman Bukit Tiram, 81800 Ulu Tiram, Johor",1.6022040000000002,103.8144449,Pizza Hut,JOHOR BAHARU,JOHOR,1,1,1,0,0,0,0,0,0,1,18,7,7,1,34,13,5,0,12,3,"KAMPUNG BARU ULU TIRAM BURUK, UJONG PERMATANG, SELANGOR",1.60084,103.8149438,LEASEHOLD,BUNGALOW,200000.0,"KAMPUNG BARU MASAI, MASAI, JOHOR",1.60084,103.8149438,LEASEHOLD,BUNGALOW,48000.0,"TAMAN BUKIT TIRAM, ULU TIRAM, JOHOR",1.605814,103.8146281,FREEHOLD,TERRACEHOUSE,250000.0,2061.0,952.0,836.0,497.0,334.0,79.0,171.0,2061.0,952.0,836.0,497.0,334.0,79.0,171.0,2061.0,952.0,836.0,497.0,334.0,79.0,171.0,0.906,0.906,0.609,1,0,0,Pizza Hut,KFC
"Pizza Hut Delivery, 14-01, Jalan Nusaria, Taman Nusantara, 74200 Nusajaya, Johor",1.4588527,103.5844532,Pizza Hut,JOHOR BAHARU,JOHOR,1,1,1,0,0,0,0,0,1,0,13,3,1,0,15,7,0,0,3,5,"TAMAN NUSANTARA, GELANG PATAH, JOHOR",1.457533,103.5820519,FREEHOLD,TERRACEHOUSE,300000.0,"TAMAN NUSANTARA, ISKANDAR PUTERI (NUSAJAYA), JOHOR",1.457533,103.5820519,FREEHOLD,FLAT,70000.0,"TAMAN GELANG EMAS, GELANG PATAH, JOHOR",1.4521556,103.5859953,FREEHOLD,TERRACEHOUSE,220000.0,1243.0,641.0,442.0,281.0,222.0,29.0,127.0,1243.0,641.0,442.0,281.0,222.0,29.0,127.0,1243.0,641.0,442.0,281.0,222.0,29.0,127.0,0.908,0.908,0.908,1,0,0,Yao Yang Machinery & Hardware,Am Pm Pharmacy Sdn Bhd
"Pizza Hut, Jalan Pulai Perdana 4,, Taman Sri Pulai Perdana, 81300 Skudai, Johor",1.566551,103.596306,Pizza Hut,KULAIJAYA,JOHOR,0,0,0,0,0,0,0,1,0,0,5,5,2,1,7,5,5,2,2,0,"TAMAN PULAI JAYA, KULAI, JOHOR",1.567517,103.5984409,FREEHOLD,TERRACEHOUSE,267500.0,"PULAI JAYA, KULAI, JOHOR",1.566103,103.598879,FREEHOLD,TERRACEHOUSE,330000.0,"BANDAR PULAI JAYA, SENAI, JOHOR",1.566103,103.598879,FREEHOLD,TERRACEHOUSE,199000.0,1748.0,790.0,675.0,430.0,438.0,70.0,113.0,1748.0,790.0,675.0,430.0,438.0,70.0,113.0,1748.0,790.0,675.0,430.0,438.0,70.0,113.0,1.003,1.003,1.003,0,1,0,World Vision Pulai,Azmi
"Pizza Hut SETIA TROPIKA, Lot PTD 131578 - 131612, Taman, Jalan Persiaran Setia Tropika, Setia Tropika, 81100 Johor Bahru, Johor",1.5488321000000005,103.717924,Pizza Hut,JOHOR BAHARU,JOHOR,1,1,1,1,0,1,0,0,0,0,28,12,12,7,11,10,7,10,8,2,"SKY GARDENS RESIDENCES, TAMPOI, JOHOR",1.5477426,103.7172494,FREEHOLD,SERVICERESIDENCE,418000.0,"SETIA TROPIKA, TEBRAU, JOHOR",1.5468879999999998,103.7177989,FREEHOLD,CLUSTERHOUSE,1199800.0,"SKY PEAK RESIDENCES, TAMPOI, JOHOR",1.547683,103.714169,FREEHOLD,APARTMENT,415000.0,2061.0,952.0,836.0,497.0,334.0,79.0,171.0,2061.0,952.0,836.0,497.0,334.0,79.0,171.0,2061.0,952.0,836.0,497.0,334.0,79.0,171.0,0.841,0.841,0.841,1,0,0,Pizza Hut,Jonathan & Ling
"Pizza Hut, LG45 %26 49, Lower Ground Floor, Jalan Dato Sulaiman, Johor, 80250 Johor Bahru",1.4883674,103.7595016,Pizza Hut,JOHOR BAHARU,JOHOR,1,1,1,1,0,0,1,1,0,0,143,75,67,75,222,58,48,51,89,51,"TAMAN CENTURY, JOHOR BAHRU, JOHOR",1.4864086,103.7625074,FREEHOLD,TERRACEHOUSE,470000.0,"TAMAN MELODIES, JOHOR BAHRU, JOHOR",1.492145,103.7599981,FREEHOLD,BUNGALOW,605000.0,"KEBUN TEH, JOHOR BAHRU, JOHOR",1.488997,103.7555431,FREEHOLD,BUNGALOW,1750000.0,2372.0,1051.0,989.0,592.0,439.0,146.0,129.0,2372.0,1051.0,989.0,592.0,439.0,146.0,129.0,2372.0,1051.0,989.0,592.0,439.0,146.0,129.0,1.088,1.088,1.088,1,1,0,Mirror Creative,Waroeng Presto Bunda
"Pizza Hut, 31, Jalan Nb2 2/2, Taman Nusa Bestari 2, 81300 Johor Bahru, Johor",1.4940768999999998,103.6558039,Pizza Hut,JOHOR BAHARU,JOHOR,1,1,1,1,1,1,1,0,1,0,90,37,13,13,129,39,20,4,11,16,"TAMAN NUSA BESTARI 2, ISKANDAR PUTERI (NUSAJAYA), JOHOR",1.4938884,103.6533403,FREEHOLD,TERRACEHOUSE,415000.0,"TAMAN NUSA BESTARI 2, SKUDAI, JOHOR",1.4938884,103.6533403,FREEHOLD,APARTMENT,300000.0,"VILLA BESTARI, ISKANDAR PUTERI (NUSAJAYA), JOHOR",1.4920718000000002,103.6535085,FREEHOLD,APARTMENT,340000.0,1966.0,896.0,813.0,482.0,285.0,73.0,145.0,1966.0,896.0,813.0,482.0,285.0,73.0,145.0,1966.0,896.0,813.0,482.0,285.0,73.0,145.0,0.989,0.989,0.989,1,0,0,Pizza Hut,Abmann (M) Sdn Bhd
